symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MRO,2017-05-31 00:00:00+00:00,13.02,13.1,12.75,12.92,14540830,12.2115462306,12.2865787727,11.9583114009,12.1177555529,14540830,0.0,1.0
MRO,2017-06-01 00:00:00+00:00,13.1,13.41,12.95,13.05,11547207,12.2865787727,12.5773298734,12.1458927562,12.2396834339,11547207,0.0,1.0
MRO,2017-06-02 00:00:00+00:00,12.72,12.99,12.56,12.96,13797001,11.9301741976,12.1834090273,11.7801091134,12.155271824,13797001,0.0,1.0
MRO,2017-06-05 00:00:00+00:00,12.78,12.86,12.54,12.61,10988204,11.9864486042,12.0614811463,11.7613509778,11.8270044522,10988204,0.0,1.0
MRO,2017-06-06 00:00:00+00:00,12.88,12.96,12.64,12.76,10639213,12.0802392819,12.155271824,11.8551416555,11.9676904687,10639213,0.0,1.0
MRO,2017-06-07 00:00:00+00:00,12.21,12.92,12.125,12.8,24105178,11.4518417416,12.1177555529,11.3721196656,12.0052067397,24105178,0.0,1.0
MRO,2017-06-08 00:00:00+00:00,12.09,12.36,12.04,12.12,15637559,11.3392929284,11.5925277581,11.2923975896,11.3674301317,15637559,0.0,1.0
MRO,2017-06-09 00:00:00+00:00,12.54,12.67,12.04,12.15,17440633,11.7613509778,11.8832788588,11.2923975896,11.395567335,17440633,0.0,1.0
MRO,2017-06-12 00:00:00+00:00,12.62,12.96,12.55,12.75,13318750,11.83638352,12.155271824,11.7707300456,11.9583114009,13318750,0.0,1.0
MRO,2017-06-13 00:00:00+00:00,13.01,13.06,12.57,12.61,13848217,12.2021671628,12.2490625016,11.7894881811,11.8270044522,13848217,0.0,1.0
MRO,2017-06-14 00:00:00+00:00,12.64,13.0,12.47,12.87,14212775,11.8551416555,12.192788095,11.6956975035,12.0708602141,14212775,0.0,1.0
MRO,2017-06-15 00:00:00+00:00,12.37,12.755,12.26,12.57,12805259,11.6019068258,11.9630009348,11.4987370804,11.7894881811,12805259,0.0,1.0
MRO,2017-06-16 00:00:00+00:00,12.52,12.59,12.32,12.47,16395845,11.7425928423,11.8082463167,11.555011487,11.6956975035,16395845,0.0,1.0
MRO,2017-06-19 00:00:00+00:00,12.49,12.6,12.42,12.54,10127064,11.714455639,11.8176253844,11.6488021646,11.7613509778,10127064,0.0,1.0
MRO,2017-06-20 00:00:00+00:00,12.06,12.23,11.85,12.23,18812909,11.3111557251,11.4705998771,11.114195302,11.4705998771,18812909,0.0,1.0
MRO,2017-06-21 00:00:00+00:00,11.61,12.13,11.55,11.99,19892152,10.8890976756,11.3768091994,10.8328232691,11.2455022507,19892152,0.0,1.0
MRO,2017-06-22 00:00:00+00:00,11.59,11.82,11.5,11.72,12297401,10.8703395401,11.0860580987,10.7859279302,10.9922674211,12297401,0.0,1.0
MRO,2017-06-23 00:00:00+00:00,11.53,11.7357,11.41,11.62,14147132,10.8140651335,11.0069925575,10.7015163203,10.8984767434,14147132,0.0,1.0
MRO,2017-06-26 00:00:00+00:00,11.53,11.68,11.4,11.56,9818160,10.8140651335,10.95475115,10.6921372526,10.8422023368,9818160,0.0,1.0
MRO,2017-06-27 00:00:00+00:00,11.35,11.62,11.315,11.55,24879345,10.6452419137,10.8984767434,10.6124151766,10.8328232691,24879345,0.0,1.0
MRO,2017-06-28 00:00:00+00:00,11.45,11.57,11.2,11.32,23142162,10.7390325914,10.8515814046,10.5045558973,10.6171047105,23142162,0.0,1.0
MRO,2017-06-29 00:00:00+00:00,11.71,12.01,11.5,11.51,19720958,10.9828883533,11.2642603863,10.7859279302,10.795306998,19720958,0.0,1.0
